,Vote,Occupation_Satisfaction,Avg_monthly_expense_when_under_age_21,AVG_lottary_expanses,Most_Important_Issue,Avg_monthly_expense_on_pets_or_plants,Looking_at_poles_results,Avg_environmental_importance,Married,Gender,Voting_Time,Financial_balance_score_(0-1),%Of_Household_Income,Yearly_IncomeK,Overall_happiness_score,Garden_sqr_meter_per_person_in_residancy_area,Avg_Residancy_Altitude,Yearly_ExpensesK,%Time_invested_in_work,Avg_government_satisfaction,Avg_Satisfaction_with_previous_vote,Avg_monthly_household_cost,Will_vote_only_large_party,Phone_minutes_10_years,Avg_size_per_room,Weighted_education_rank,%_satisfaction_financial_policy,Avg_monthly_income_all_years,Last_school_grades,Age_group,Number_of_differnt_parties_voted_for,Political_interest_Total_Score,Number_of_valued_Kneset_members,Main_transportation,Occupation,Avg_education_importance,Num_of_kids_born_last_10_years,Financial_agenda_matters
5982,Khakis,5.0,119.40687214567801,38694.9348253797,Education,39.8022907152262,No,972.178588971944,No,Male,After_16:00,0.839400137308985,0.593546295771375,771.692738635466,0.634432542137802,96.41717036720371,9.974,6026.0,26.5351178590208,655.5972840869799,11032.980457893402,87096.29296475269,Maybe,945131.208855479,25.6046340354042,574.4944669654251,92.2991849482059,1634.0246368946,100.0,30-45,3.0,1081.2005064292,12.0,Public_or_other,Services_or_Retail,787.890183707447,0.0,No
9201,Purples,6.0,465.498791181464,61503.9001205912,Financial,155.166263727155,,396.37417724216203,Yes,Female,After_16:00,0.502795467618853,0.33838221873156704,246.32248305715598,8.09723916230723,28.547948389314104,5.875,4125.0,90.2375146280974,453.667391154211,4871.07655473004,54558.8589473735,Maybe,,21.299469269308396,113.518327876912,30.728240706957898,24241.735662772004,60.0,30-45,2.0,698.5273445873511,9.0,Motorcycle_or_truck,Industry_or_other,501.17854964868894,0.0,Yes
9704,Purples,4.0,200.174470736796,23728.3128540916,Education,66.7248235789321,No,355.61447121733,Yes,Female,After_16:00,0.680886320769787,,39.5801002159715,4.14537043077871,99.3353812722489,0.994999999999999,9005.0,94.19441351201391,389.97799325717006,4336.10069868764,49930.7521881414,Yes,126461.652139181,19.747860472901102,188.721434318046,43.96825891453771,4528.92690521855,100.0,30-45,3.0,662.347439246081,14.0,Public_or_other,Industry_or_other,551.611596385791,0.0,No
8213,Oranges,2.0,315.919336978726,41336.697655684,Military,105.306445659575,No,392.537203176654,Yes,Male,By_16:00,0.531762211816385,0.275841745780781,695.935646537691,7.300968074705451,26.045168889686497,7.654,4346.0,67.82951687928289,313.39150602292597,4552.15504381239,40679.9065810272,Maybe,154085.45587775,17.7028671695555,242.49470544666198,58.8194454088807,11204.7539431127,30.0,45_and_up,0.0,515.555068025039,9.0,Foot_or_bicycle,Industry_or_other,388.49798457348,0.0,No
6672,Reds,1.0,186.59167579125702,24007.8204330067,Foreign_Affairs,62.1972252637523,Yes,385.995039669367,Yes,Female,After_16:00,,0.0855386964976788,713.6700563132761,,20.696509280242,7.102,4898.0,80.3043183870614,505.321027534742,4870.59245176316,59116.169917566505,Yes,148992.170649356,22.4793466883435,117.35557308139799,85.0347435567528,3940.6920557737,40.0,30-45,0.0,757.053038322289,8.0,Foot_or_bicycle,Public_Sector,527.329219148169,1.0,Yes
9507,Purples,2.0,682.732008638272,114326.84458499998,Financial,227.577336212757,Yes,502.364807003973,No,Female,By_16:00,0.948525079293177,0.367013626964763,22.868907079100598,1.71748667024076,3.80770773626864,3.22,6780.0,28.390606539323898,426.32891688681997,5876.305903813371,53800.1185860021,Maybe,252370.399316139,20.6477339407214,75.2319479120161,81.3989889342338,52029.0212939072,60.0,45_and_up,3.0,676.402147550469,8.0,Public_or_other,Services_or_Retail,484.93928330386706,1.0,Yes
8767,Khakis,9.0,639.564087077125,193220.248631191,Social,213.188029025708,Yes,906.337234385192,No,Female,By_16:00,0.405991150531918,0.8571773574221879,591.407582396641,2.81855048378929,27.260286337695998,11.054,4946.0,31.234951619990202,593.787485267967,10250.9473143879,81144.9136232521,Yes,821447.182432998,24.3677550313517,509.54128920879896,70.86766550783071,45672.323748892,70.0,30-45,1.0,1021.43771707679,12.0,Car,,792.790513794196,0.0,No
1357,Oranges,,496.94320186654295,52827.1093114733,Military,165.64773395551398,Yes,318.912357265692,Yes,Female,After_16:00,0.0963222323916852,0.215122699039057,45.9073062520474,1.3560011889785502,79.1062840027735,8.987,3013.0,10.511761880479801,465.355945326608,4119.83546331014,55277.680114762,No,101705.091616761,21.5721103586693,190.779727956278,78.3458328805864,27614.8194985523,30.0,45_and_up,1.0,725.2266825013099,9.0,Foot_or_bicycle,Student_or_Unemployed,549.030191961587,0.0,Yes
5004,Khakis,4.0,122.91436814314501,36702.3581398523,Environment,40.971456047715,No,895.803119545202,No,Female,By_16:00,0.448782887076959,0.43641046737320704,676.9680678844451,3.7007966917008197,33.568187081255005,7.135,8865.0,67.6057196455076,817.608561716042,10593.2483188841,,No,802463.2289869159,28.593855313966397,662.500508314898,96.9405705342069,1729.6316667175597,90.0,45_and_up,3.0,1288.36675023707,11.0,Foot_or_bicycle,Services_or_Retail,925.8774654762229,0.0,No
9517,Khakis,10.0,51.2863146600125,10969.9800371596,Environment,17.095438220004198,Yes,641.6904846769651,No,Female,By_16:00,0.422268443973735,0.184959959704429,447.46964820660696,0.518172844313085,10.726176481693999,11.935,4065.0,61.4177289884537,580.041530891322,7576.9879085523,75408.6661321766,Yes,411766.678124959,24.084051380349603,329.760827305703,44.7194799548015,319.349446153983,90.0,30-45,1.0,979.6108919516789,11.0,Foot_or_bicycle,Industry_or_other,786.808931363586,2.0,No
2483,Greens,2.0,330.986237776472,31890.5136725898,Environment,110.328745925491,No,289.049906305712,Yes,Female,By_16:00,0.0291691818274558,0.8847526842728258,156.128845876083,7.137700021266941,80.71850431151691,5.232,4768.0,16.6344812838361,507.4736540554,3905.4463711679205,59621.6977418556,Yes,83549.8483353411,22.527175900574,239.651181968578,80.6495391763747,12292.7609234169,90.0,45_and_up,2.0,792.3694751549209,13.0,Car,Services_or_Retail,613.476391748981,0.0,No
7240,Purples,5.0,628.121843655343,79471.52217559831,Healthcare,209.37394788511398,Yes,379.56738638374003,Yes,Female,By_16:00,0.906536533264443,0.27484983997419504,679.10477030091,9.19426024891436,83.5933522554114,3.12,6880.0,54.433432687073896,478.97789058366203,4753.62964500472,56398.1968090128,Maybe,144071.400806183,21.8855635199019,,28.012249711900896,44056.8240008838,80.0,30-45,2.0,721.8046661157621,14.0,Car,Industry_or_other,505.535651904184,0.0,No
7898,Greys,6.0,143.513637953431,26018.9949023545,Military,47.837879317810405,No,543.899421826323,No,Female,After_16:00,0.43796565476805,0.0615456111263484,622.523722238839,2.33283169334754,92.28449077345431,6.235,5765.0,52.4657424306497,571.364727588528,6581.7236734402795,65599.50482236031,Yes,295826.581063008,23.9032367596635,91.67933166316472,15.184579347260302,2346.30057694321,30.0,Below_30,0.0,800.010293626015,9.0,Car,Services_or_Retail,462.784193227415,0.0,No
3826,Purples,9.0,,46276.1366191364,Education,107.241041631864,No,431.51517287562797,Yes,Male,By_16:00,0.0951555739156902,0.781595696229488,191.96129706688203,0.21119170356541897,98.9952403353527,0.11800000000000001,9882.0,75.738734821789,,5306.84931108176,59443.2005376764,Maybe,186205.344421883,22.2676624539429,79.8504138594322,95.14417645987119,11617.8820519191,100.0,30-45,3.0,759.840196850802,12.0,Public_or_other,Public_Sector,540.849535033547,1.0,No
2372,Purples,1.0,114.25790754829201,14106.273124355701,Environment,38.085969182763904,Yes,370.379786232134,Yes,Female,By_16:00,0.6943843453191221,0.8949709846638142,178.309044800699,5.56290309643373,33.8838452473283,6.062,3938.0,45.7020796835423,434.963526796423,4573.724915914179,52981.496189902595,Maybe,137181.186049361,20.855779218154897,145.998845263763,50.4716907860711,1498.6270177732001,90.0,45_and_up,1.0,686.9390153539621,11.0,Foot_or_bicycle,Services_or_Retail,516.867725227936,0.0,Yes
3464,Khakis,2.0,158.5306888401,2883.5597422187298,Financial,52.8435629466999,No,54.567852382081206,Yes,Female,By_16:00,0.302690579555929,0.0176367722451687,554.250515531749,2.20135882031173,2.2324634715914704,7.022,8978.0,3.5466352943331003,110.29158078599701,766.2616853928059,11744.417706396101,Maybe,,10.5019798507709,721.8885935844991,24.934645765461003,2855.2857078485304,60.0,30-45,2.0,148.054811272148,10.0,Public_or_other,Industry_or_other,86.6712066530847,0.0,No
8539,Purples,2.0,87.65095509830601,13107.7920772444,Social,29.216985032768697,No,448.636026699646,Yes,Female,After_16:00,0.8755586266051979,0.151177603751421,760.5838133022189,0.120352422818542,46.6478925431147,0.122,9878.0,52.7696932200342,452.32947894348604,5391.019224883429,56521.2811572335,No,201274.284452845,21.2680389068547,87.577243554324,85.3851394494995,892.849199437797,70.0,45_and_up,2.0,728.223403020421,10.0,Car,Industry_or_other,552.526538602638,0.0,No
2005,Yellows,8.0,-134.31920652361902,-23795.325337068,Financial,-44.77306884120621,Yes,531.4651408296679,No,Female,By_16:00,0.144648685120046,,33.8569569867104,6.49589129025117,28.880656114779395,9.085,4915.0,7.419176795519889,509.19866873577104,,63281.919728872,Yes,282455.195917098,22.565430834260003,93.38316412919741,15.0264127412811,1969.85462461818,60.0,Below_30,1.0,805.14529063877,10.0,Car,Hightech,587.439949387219,2.0,No
4923,Blues,3.0,1243.86479754025,18610.827021882098,Healthcare,414.621599180085,Yes,44.8862940538675,Yes,Female,After_16:00,0.993634038371965,0.389145435765386,917.8702784702181,1.7254739860072699,51.7055520089343,4.712,9288.0,51.67498923838139,867.952173110098,2184.76728675887,88234.4325755257,Maybe,2014.77939389026,29.461028038921103,650.5783028148339,38.1689883070067,172335.692105831,80.0,30-45,3.0,1177.71497059148,13.0,Public_or_other,Industry_or_other,784.138770774007,1.0,No
8854,Violets,8.0,119.408602769649,34918.6723118817,Social,39.802867589883,Yes,877.290366907063,No,Male,By_16:00,0.16858189739286902,0.285100067034364,242.28132981807002,8.636756867636,98.4139208914712,8.121,7879.0,63.9547884464264,862.643915719079,10498.1915005088,102984.186268969,No,769638.3878679291,,617.950936181243,39.8046849528328,1634.07113596764,70.0,45_and_up,,1278.42892549054,13.0,Car,Public_Sector,828.640729305334,1.0,No
8894,Purples,7.0,288.80363756719504,32045.564426010496,Education,96.2678791890649,No,,Yes,Female,By_16:00,0.5672779208980501,0.353585360106081,419.997819233686,9.229401936754579,8.35556527599692,4.298,5702.0,16.4981568930671,416.05322287836196,4160.89738786055,51753.1292474479,Maybe,110808.491362325,20.397382745792697,195.49972239476102,72.5790369324386,9373.77244274946,100.0,45_and_up,3.0,686.212479915965,12.0,Car,Industry_or_other,556.9533398088,0.0,No
8095,Reds,9.0,103.049810490315,16302.0483126173,Other,34.349936830105,No,474.587432088954,Yes,Female,After_16:00,0.10319753829389801,0.22802125592716002,867.704334901646,3.16973981913179,0.258692726492882,8.957,3043.0,25.713925901800398,504.059232421289,5753.992785732111,62056.4140224995,No,225233.23069678698,22.451263492758898,97.52993278358541,96.41673921141769,1224.26809706231,50.0,Below_30,3.0,798.148771589885,10.0,Motorcycle_or_truck,Hightech,594.073438403659,0.0,No
7232,Reds,6.0,78.1739434552597,16364.1475431452,Other,26.0579811517532,Yes,627.989844947915,No,Female,After_16:00,0.434319676598534,0.9492909766267991,424.562423257157,4.25646393094212,82.7440409222618,5.303999999999999,6696.0,8.295434410683809,520.509647888545,7320.91774525624,66195.0754004161,Maybe,394371.24535770604,22.814680534439802,165.819448966924,59.087736648507395,715.07636285688,50.0,Below_30,4.0,832.963672055741,10.0,Motorcycle_or_truck,Hightech,603.412008922518,0.0,Yes
3644,Khakis,4.0,93.3412430888158,6599.77962244772,Financial,31.113747696271897,Yes,212.11779715108102,Yes,Male,After_16:00,0.290610369294882,0.784706433536485,136.79245649837,7.579619262833151,36.7305002175272,6.327000000000001,9673.0,7.63700823299587,336.376478080638,2793.93092767208,33137.3750619814,No,44993.9598682271,18.3405691863867,508.595960941437,21.855501853860897,1009.17904340354,60.0,30-45,2.0,380.934398334683,9.0,Public_or_other,Services_or_Retail,113.96757669400101,0.0,Yes
2652,Khakis,5.0,216.249159524823,3369.15632353711,Healthcare,72.08305317494109,No,46.7399225634961,Yes,Female,By_16:00,0.745263300603256,0.6595929162576789,903.866230975837,9.624097710475331,22.109113959595604,9.51,6490.0,68.736811936833,179.48143905959998,826.3621037541611,18394.8762467687,Yes,2184.62036124161,13.3970683009232,661.132254245446,23.0157589772716,5278.04960819633,80.0,45_and_up,2.0,236.680818680018,12.0,Public_or_other,Hightech,140.947062540056,0.0,Yes
1117,Pinks,8.0,160.531083925941,39237.4302307345,Healthcare,53.5103613086471,Yes,733.267899359031,No,Male,By_16:00,0.914006987819448,0.9744910481385891,361.49012343958,1.55599905876443,55.8997657848522,2.965,7035.0,34.7461577504873,681.445808286776,8695.570610163872,79060.0954214849,Yes,537681.812230407,,296.597285439617,55.79982197377829,2926.8691286906105,80.0,Below_30,0.0,949.2122884687691,7.0,Foot_or_bicycle,Student_or_Unemployed,525.168542149535,0.0,No
4782,Purples,2.0,312.700329107831,45377.623133590896,Financial,104.233443035944,Yes,435.346102094535,Yes,Male,After_16:00,0.17000666866079003,0.8449401531834159,45.9495561663061,0.212236535735428,84.2155064456165,1.3780000000000001,8622.0,41.8786895694211,472.451249738587,5298.36352042253,56136.1628449138,Yes,189526.228608906,21.7359437278115,74.38827872476291,56.630433676764405,10978.8440901633,60.0,Below_30,2.0,706.54897693548,9.0,Car,Student_or_Unemployed,475.61648392259497,0.0,No
7579,Yellows,2.0,956.3602529570579,95765.44456607301,Social,318.786750985686,Yes,300.405974432649,Yes,Male,By_16:00,0.9365497145336121,0.0329151558689773,863.5394407901911,0.0453140959143639,89.2025548033416,7.6979999999999995,6302.0,57.1646230528131,355.299486288837,3714.65871690416,43168.705978515696,No,90243.7494748291,18.849389546848396,259.48229174678903,16.174351447261902,101953.779354995,70.0,45_and_up,3.0,559.32851575656,9.0,Foot_or_bicycle,Industry_or_other,419.036761306683,0.0,Yes
1879,Khakis,10.0,140.60227868093799,3977.94759228855,Healthcare,46.86742622697929,,84.8765958050122,Yes,Male,After_16:00,0.6782734233420339,0.38104588678106704,247.71716655232,7.51752405893058,46.5420827968046,10.047,5953.0,68.2470921892673,282.810948323458,1414.3878546970402,24804.0659850407,Yes,7204.036515447409,16.8169839246953,662.201483745709,93.6776830116287,2253.42306736832,80.0,30-45,1.0,279.023773734197,13.0,Car,Industry_or_other,32.0125213251661,2.0,Yes
6809,Khakis,3.0,381.03898886803,117549.41943809,Financial,127.012996289343,Yes,925.491271541264,No,Male,After_16:00,0.615055058617145,0.508884869283065,672.856151591986,3.94225341733545,75.2639509737492,9.873,6127.0,30.669944500550603,710.03309963271,10674.9789146781,93675.3935087045,Yes,856534.093699066,26.6464462852499,633.0915873363169,25.0156797701493,16269.314222686102,60.0,45_and_up,1.0,1191.1309586037,8.0,Motorcycle_or_truck,Public_Sector,919.104083560267,0.0,No
1697,Purples,9.0,227.85033807693802,34093.7666526427,Financial,75.9501126923127,Yes,448.89685405422097,Yes,Female,After_16:00,0.195357610238716,0.82362982397899,744.802104774863,3.0868791416287404,65.13356482610111,5.906000000000001,4094.0,70.92402379494159,508.222373522922,5505.4132875880505,62284.3726935358,Maybe,201508.38557977602,22.5437879142553,120.207505841103,41.7737095151097,5854.3697306673,60.0,Below_30,2.0,806.53626272345,9.0,Foot_or_bicycle,Student_or_Unemployed,608.4928822947979,2.0,No
1083,Purples,7.0,440.656871679194,56115.765615224904,Environment,146.885623893065,Yes,382.037153316502,Yes,Female,After_16:00,0.19076023530215,0.5849741103593261,372.61490128003095,1.07440335908905,29.8775966512039,6.407,3593.0,40.7873171614483,446.06298729725404,4712.497507759529,54265.98483973309,No,145952.386514177,21.1202032967785,132.19028981287,13.924532569944901,21732.2721303479,90.0,Below_30,1.0,702.4063658464011,14.0,Car,Services_or_Retail,525.491923894443,0.0,Yes
2775,Blues,9.0,1041.0192105682002,75687.029609919,Education,347.006403522732,No,,Yes,Male,After_16:00,0.36288884910754904,0.0477853396441787,583.108973223716,8.52224654518068,26.2808486586437,4.2330000000000005,9767.0,2.5531193241477,826.568780001253,3834.27971880883,80888.3376442827,Maybe,47573.811169223096,28.7501092172056,431.834784157828,97.81523554120209,120770.450489304,100.0,30-45,1.0,1006.0470969416199,16.0,Foot_or_bicycle,Hightech,480.647546704859,0.0,No
3395,Whites,7.0,544.1715554952,91655.98309281991,Education,181.3905184984,Yes,505.296439150034,No,Male,After_16:00,0.379787461599335,0.363084771903232,75.4961597267538,8.887843869160859,89.4780913367867,0.657,9343.0,63.9920758083463,489.321393860012,6031.60717922036,60699.96103602611,Yes,255324.49141770398,22.1206101602106,64.76763782511621,97.75834709871559,33093.910719616804,100.0,30-45,4.0,772.749551903678,10.0,Motorcycle_or_truck,Hightech,563.661307029328,1.0,No
7885,Khakis,6.0,98.82593595701509,,Social,32.9419786523384,Yes,921.715498860249,No,Male,After_16:00,,0.8562366147525609,733.1194051075729,2.54386707907543,89.3254389287904,7.256,8744.0,3.01868836395442,863.3825528668241,10943.9200943361,105901.457588188,Yes,849559.460839199,29.383372047245103,697.389822406847,72.4886257667094,1128.11593618346,70.0,Below_30,3.0,1329.25258394915,12.0,Motorcycle_or_truck,Services_or_Retail,920.073472965974,0.0,Yes
7182,Khakis,1.0,393.124462330689,129223.932775854,Healthcare,131.041487443563,Yes,986.129929511894,No,Female,After_16:00,0.7613565416540949,0.970477861352265,603.63472532481,9.21501888660714,45.1016884762794,10.783,5217.0,73.81201384123409,983.022029395215,11827.3433539094,118072.73014350599,No,972452.237879133,31.353182125507104,839.853423678883,73.40448291506621,17312.912918865,80.0,Below_30,2.0,1476.08844962832,11.0,Public_or_other,Services_or_Retail,985.5112604428759,1.0,No
5785,Purples,5.0,254.277429024526,29636.870454975,Social,84.7591430081754,Yes,349.65986444809096,Yes,Male,By_16:00,0.9736338953953241,0.20752866961993302,462.62419433333,6.97518944274634,51.6909983707592,2.634,7366.0,29.524567630142002,390.98954807966004,4278.577740640229,47899.27424073691,No,122262.020805857,19.7734556433533,189.12767589883998,20.841885893605603,7278.8714664885,70.0,30-45,2.0,618.941203602298,12.0,Car,Hightech,464.16924777158897,0.0,Yes
9530,Blues,1.0,1353.0163940413302,376743.85633840796,Education,451.00546468044195,Yes,835.3421096689999,No,Male,By_16:00,0.514019498368725,0.862502869218588,114.567402750254,9.6691976278089,0.751757947728038,8.797,5203.0,27.9904833296314,811.532801948488,9976.486700586971,92644.7645239532,No,697796.440186255,28.487414799319502,466.079990319119,77.5755831506103,203866.934636302,100.0,45_and_up,3.0,1107.85556975752,16.0,Motorcycle_or_truck,Services_or_Retail,587.883674073964,1.0,No
7949,Browns,9.0,538.793585119953,85082.96476364331,Financial,179.597861706651,Yes,473.741524287271,Yes,Male,By_16:00,0.5640882956795389,0.357422260101885,869.2994758021091,1.21097898110747,96.16747556719929,2.303,7697.0,23.433844419196202,416.20776201528196,5569.83076690327,51149.1773265533,Maybe,224431.031834027,20.4011706040433,114.80650001651199,33.0735627561808,32444.989791308,60.0,Below_30,2.0,634.9818002522001,5.0,Foot_or_bicycle,Student_or_Unemployed,426.04132401943804,0.0,No
9310,Purples,9.0,103.244335368265,15149.925588176498,Education,34.4147784560883,Yes,440.215694182286,Yes,Female,After_16:00,0.7388133618514979,0.8711469904519621,959.0671216137711,6.878166787792,52.9449695022777,2.395,7605.0,88.9000638388097,488.37453878681396,5378.90601939649,60990.998694668895,No,193789.85740439198,22.099197695545698,141.490598456903,88.7968140654266,1228.79175463773,100.0,45_and_up,2.0,797.414497600817,16.0,Public_or_other,Industry_or_other,627.711686548911,0.0,No
8752,Purples,6.0,237.731247387066,34861.7067780828,Social,79.24374912902191,No,439.93005330076204,Yes,Female,After_16:00,0.5849748454056679,,277.15245191939204,7.82500797882676,2.7142122620716695,5.915,4085.0,40.3769089141861,451.596229768968,5302.49299254556,56185.9307722078,Yes,193538.45179721198,21.2507936268029,90.2988197893833,29.486575908958898,6368.815525152379,70.0,Below_30,1.0,723.895296569483,10.0,Foot_or_bicycle,Student_or_Unemployed,546.931368894671,0.0,No
9690,Whites,2.0,96.41791726060092,17525.7303353643,Environment,32.1393057535336,No,545.305193265954,No,Male,By_16:00,0.804752455791458,0.39182599610649,728.1479625962669,0.229109881911427,33.7400027783588,6.416,3584.0,11.0693753696978,413.39155223872103,6279.83503713699,52739.1749155298,Yes,297357.75380282,20.3320326637235,108.860691066196,18.221167335286697,1075.07428007265,90.0,Below_30,3.0,652.619056578637,10.0,Motorcycle_or_truck,Services_or_Retail,452.072280474386,2.0,Yes
7081,Purples,9.0,153.012494344468,21366.2969255526,Social,51.0041647814894,No,418.912789123976,Yes,Male,After_16:00,0.874911654507741,0.5989370525348929,735.0455441046511,5.6761181959882405,48.1242212699726,6.642,3358.0,95.01445237547159,459.213313077962,5107.55451739568,55306.0205074869,No,175487.924891629,21.4292630082782,90.79599222720041,2.9291740385815497,2662.4289898388197,70.0,45_and_up,1.0,704.040609511745,11.0,Public_or_other,Hightech,497.714697658364,0.0,Yes
7057,Browns,9.0,866.700531238322,89642.53290958439,Environment,288.900177079441,Yes,310.288951068849,Yes,Male,By_16:00,0.862553962972015,0.704201629851013,154.02711322531098,7.41510214749724,7.76096202898771,5.007,4993.0,74.99818385113029,378.84209921750295,3860.5737091234996,44083.6849182159,Maybe,96279.2331554067,19.463866502252397,260.128471434014,41.3176886504516,,90.0,45_and_up,2.0,556.79993250362,9.0,Car,Industry_or_other,369.62629620196503,0.0,Yes
7277,Purples,6.0,268.81420240143103,38021.0490062504,Social,89.6047341338102,No,424.319645315526,Yes,Male,After_16:00,0.22113128448836497,0.5431511788629,88.3442836347967,5.7815080112777695,15.0939524173737,0.885,9115.0,72.65893334988499,336.889162894743,4916.97477894475,,Maybe,180047.161400694,18.354540661502302,211.0659783849,40.0282276561484,8128.61311332462,70.0,Below_30,1.0,650.895639290595,11.0,Foot_or_bicycle,Services_or_Retail,610.526856307549,1.0,Yes
